Field,Label,Value
resource_32_name,Resource Name,Social Marketing Data for Nigeria
resource_32_mimetype,MIME Type,text/csv
resource_32_size,Size,67.6K
resource_33_created,Created,2020-01-27T19:36:13.494068
resource_33_description,Description,HXLated csv containing Tobacco data
resource_33_format,File Format,CSV
resource_33_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/7547e126-3952-4155-b1ab-d68d78b5cd78/download/tobacco_subnational_nga.csv
resource_33_id,Resource ID,7547e126-3952-4155-b1ab-d68d78b5cd78
resource_33_last_modified,Updated,2025-09-18T06:04:53.548218
resource_33_metadata_modified,Metadata Updated,2025-09-18T06:09:46.083260
resource_33_microdata,Microdata,False
resource_33_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_33_resource_type,Resource Type,file.upload
resource_33_name,Resource Name,Tobacco Data for Nigeria
resource_33_mimetype,MIME Type,text/csv
resource_33_size,Size,250.1K
resource_34_created,Created,2020-01-27T19:36:13.494072
resource_34_description,Description,HXLated csv containing Toilet Facilities data
resource_34_format,File Format,CSV
resource_34_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/2771f918-f1e8-4376-94d7-da6f8d57ec30/download/toilet-facilities_subnational_nga.csv
resource_34_id,Resource ID,2771f918-f1e8-4376-94d7-da6f8d57ec30
resource_34_last_modified,Updated,2025-09-18T06:04:53.816842
resource_34_metadata_modified,Metadata Updated,2025-09-18T06:09:52.928292
resource_34_microdata,Microdata,False
resource_34_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_34_resource_type,Resource Type,file.upload
resource_34_name,Resource Name,Toilet Facilities Data for Nigeria
resource_34_mimetype,MIME Type,text/csv
resource_34_size,Size,1.2M
resource_35_created,Created,2020-01-27T19:36:13.494076
resource_35_description,Description,HXLated csv containing Water data
resource_35_format,File Format,CSV
resource_35_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/7c320c3c-a771-42a7-ae06-57f98ae14a4d/download/water_subnational_nga.csv
resource_35_id,Resource ID,7c320c3c-a771-42a7-ae06-57f98ae14a4d
resource_35_last_modified,Updated,2025-09-18T06:04:55.084331
resource_35_metadata_modified,Metadata Updated,2025-09-18T06:10:03.689877
resource_35_microdata,Microdata,False
resource_35_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_35_resource_type,Resource Type,file.upload
resource_35_name,Resource Name,Water Data for Nigeria
resource_35_mimetype,MIME Type,text/csv
resource_35_size,Size,2.0M
resource_36_created,Created,2020-01-27T19:36:13.494080
resource_36_description,Description,HXLated csv containing Select Malaria Indicators data
resource_36_format,File Format,CSV
resource_36_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/8132fb84-71eb-4fd2-9b8f-978507aa6b76/download/select-malaria-indicators_subnational_nga.csv
resource_36_id,Resource ID,8132fb84-71eb-4fd2-9b8f-978507aa6b76
resource_36_last_modified,Updated,2025-09-18T06:04:55.386030
resource_36_metadata_modified,Metadata Updated,2025-09-18T06:09:53.784145
resource_36_microdata,Microdata,False
resource_36_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_36_resource_type,Resource Type,file.upload
resource_36_name,Resource Name,Select Malaria Indicators Data for Nigeria
resource_36_mimetype,MIME Type,text/csv
resource_36_size,Size,583.4K
resource_37_created,Created,2020-01-27T19:36:13.494084
resource_37_description,Description,HXLated csv containing Select Gender Indicators data
resource_37_format,File Format,CSV
resource_37_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/040f23d1-1adf-4bfc-a1a7-cc3c8184f331/download/select-gender-indicators_subnational_nga.csv
resource_37_id,Resource ID,040f23d1-1adf-4bfc-a1a7-cc3c8184f331
resource_37_last_modified,Updated,2025-09-18T06:04:55.662423
resource_37_metadata_modified,Metadata Updated,2025-09-18T06:10:18.155344
resource_37_microdata,Microdata,False
resource_37_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_37_resource_type,Resource Type,file.upload
resource_37_name,Resource Name,Select Gender Indicators Data for Nigeria
resource_37_mimetype,MIME Type,text/csv
resource_37_size,Size,214.1K
resource_38_created,Created,2020-01-27T19:36:13.494088
resource_38_description,Description,HXLated csv containing Select Family Planning Indicators data
resource_38_format,File Format,CSV
resource_38_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/879b178a-299f-4a4b-a5e4-a783d89ddd4a/download/select-family-planning-indicators_subnational_nga.csv
resource_38_id,Resource ID,879b178a-299f-4a4b-a5e4-a783d89ddd4a
resource_38_last_modified,Updated,2025-09-18T06:04:55.883565
resource_38_metadata_modified,Metadata Updated,2025-09-18T06:09:56.044200
resource_38_microdata,Microdata,False
resource_38_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_38_resource_type,Resource Type,file.upload
resource_38_name,Resource Name,Select Family Planning Indicators Data for Nigeria
resource_38_mimetype,MIME Type,text/csv
resource_38_size,Size,129.5K
resource_39_created,Created,2020-01-27T19:36:13.494092
resource_39_description,Description,HXLated csv containing Select Nutrition Indicators data
resource_39_format,File Format,CSV
resource_39_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/52067f6a-1ca5-43a0-a4de-3e10b3a7207d/download/select-nutrition-indicators_subnational_nga.csv
resource_39_id,Resource ID,52067f6a-1ca5-43a0-a4de-3e10b3a7207d
resource_39_last_modified,Updated,2025-09-18T06:04:56.141595
resource_39_metadata_modified,Metadata Updated,2025-09-18T06:10:00.258756
resource_39_microdata,Microdata,False
resource_39_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_39_resource_type,Resource Type,file.upload
resource_39_name,Resource Name,Select Nutrition Indicators Data for Nigeria
resource_39_mimetype,MIME Type,text/csv
resource_39_size,Size,191.6K
resource_40_created,Created,2020-01-27T19:36:13.494096
resource_40_description,Description,HXLated csv containing Select Child Mortality Indicators data
resource_40_format,File Format,CSV
resource_40_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/e238d8ce-8f94-415b-bdec-33da1270e30b/download/select-child-mortality-indicators_subnational_nga.csv
resource_40_id,Resource ID,e238d8ce-8f94-415b-bdec-33da1270e30b
resource_40_last_modified,Updated,2025-09-18T06:04:56.374870
resource_40_metadata_modified,Metadata Updated,2025-09-18T06:10:02.218308
resource_40_microdata,Microdata,False
resource_40_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_40_resource_type,Resource Type,file.upload
resource_40_name,Resource Name,Select Child Mortality Indicators Data for Nigeria
resource_40_mimetype,MIME Type,text/csv
resource_40_size,Size,116.9K
resource_41_created,Created,2020-01-27T19:36:13.494101
resource_41_description,Description,HXLated csv containing Select Education Indicators data
resource_41_format,File Format,CSV
resource_41_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/0487f49e-5208-4d87-b950-dd3c25e4bcf4/download/select-education-indicators_subnational_nga.csv
resource_41_id,Resource ID,0487f49e-5208-4d87-b950-dd3c25e4bcf4
resource_41_last_modified,Updated,2025-09-18T06:04:56.643680
resource_41_metadata_modified,Metadata Updated,2025-09-18T06:10:20.128886
resource_41_microdata,Microdata,False
resource_41_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_41_resource_type,Resource Type,file.upload
resource_41_name,Resource Name,Select Education Indicators Data for Nigeria
resource_41_mimetype,MIME Type,text/csv
resource_41_size,Size,222.3K
resource_42_created,Created,2023-07-25T23:35:57.940460
resource_42_description,Description,HXLated csv containing COVID-19 Prevention data
resource_42_format,File Format,CSV
resource_42_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/052267bf-21c8-4c35-b2d3-69d5b2e98a0d/download/covid-19-prevention_subnational_nga.csv
resource_42_id,Resource ID,052267bf-21c8-4c35-b2d3-69d5b2e98a0d
resource_42_last_modified,Updated,2025-09-18T06:04:56.938289
resource_42_metadata_modified,Metadata Updated,2025-09-18T06:10:04.450796
resource_42_microdata,Microdata,False
resource_42_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_42_resource_type,Resource Type,file.upload
resource_42_name,Resource Name,COVID-19 Prevention Data for Nigeria
resource_42_mimetype,MIME Type,text/csv
resource_42_size,Size,682.9K
resource_43_created,Created,2023-07-25T23:35:57.940465
resource_43_description,Description,HXLated csv containing COVID-19 Additional factors data
resource_43_format,File Format,CSV
resource_43_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/cfbee2c6-1d1a-4428-a39b-082afa57b2c2/download/covid-19-additional-factors_subnational_nga.csv
resource_43_id,Resource ID,cfbee2c6-1d1a-4428-a39b-082afa57b2c2
resource_43_last_modified,Updated,2025-09-18T06:04:57.239911
resource_43_metadata_modified,Metadata Updated,2025-09-18T06:10:16.067649
resource_43_microdata,Microdata,False
resource_43_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_43_resource_type,Resource Type,file.upload
resource_43_name,Resource Name,COVID-19 Additional factors Data for Nigeria
resource_43_mimetype,MIME Type,text/csv
resource_43_size,Size,578.3K
